의안번호,의안명(한글),제안일,소관위
2124264,거주시설 수용 피해생존자의 보상 및 지원에 관한 법률안,2023-09-06,보건복지위원회
2124263,교통약자의 이동편의 증진법 일부개정법률안,2023-09-06,국토교통위원회
2124262,상법 일부개정법률안,2023-09-06,법제사법위원회
2124221,주택법 일부개정법률안,2023-09-05,국토교통위원회
2124227,방위산업기술 보호법 일부개정법률안,2023-09-05,국방위원회
2124226,학교복합시설 설치 및 운영·관리에 관한 법률 일부개정법률안,2023-09-05,교육위원회
2124229,국민연금법 일부개정법률안,2023-09-05,보건복지위원회
2124225,고용정책 기본법 일부개정법률안,2023-09-05,환경노동위원회
2124224,국가첨단전략산업 경쟁력 강화 및 보호에 관한 특별조치법 일부개정법률안,2023-09-05,산업통상자원중소벤처기업위원회
2124223,군사기밀 보호법 일부개정법률안,2023-09-05,국방위원회
2124222,국가첨단전략산업 경쟁력 강화 및 보호에 관한 특별조치법 일부개정법률안,2023-09-05,산업통상자원중소벤처기업위원회
2124216,방위사업법 일부개정법률안,2023-09-05,국방위원회
2124220,군인사법 일부개정법률안,2023-09-05,국방위원회
2124219,국가연구개발혁신법 일부개정법률안,2023-09-05,과학기술정보방송통신위원회
2124218,도시철도법 일부개정법률안,2023-09-05,국토교통위원회
2124217,한국산업은행법 일부개정법률안,2023-09-05,정무위원회
2124215,개인정보 보호법 일부개정법률안,2023-09-05,정무위원회
2124214,국민건강보험법 일부개정법률안,2023-09-05,보건복지위원회
2124213,양곡관리법 일부개정법률안,2023-09-05,농림축산식품해양수산위원회
2124228,국세징수법 일부개정법률안,2023-09-05,기획재정위원회
2124233,소득세법 일부개정법률안,2023-09-05,기획재정위원회
2124230,갯벌 및 그 주변지역의 지속가능한 관리와 복원에 관한 법률 일부개정법률안,2023-09-05,농림축산식품해양수산위원회
2124240,공직선거법 일부개정법률안,2023-09-05,행정안전위원회
2124231,지방세특례제한법 일부개정법률안,2023-09-05,행정안전위원회
2124246,국가간 과학기술 협력에 관한 법률안,2023-09-05,과학기술정보방송통신위원회
2124244,여수ㆍ순천 10ㆍ19사건 진상규명 및 희생자 명예회복에 관한 특별법 일부개정법률안,2023-09-05,행정안전위원회
2124243,선원법 일부개정법률안,2023-09-05,농림축산식품해양수산위원회
2124242,도로교통법 일부개정법률안,2023-09-05,행정안전위원회
2124241,폐기물처리시설 설치촉진 및 주변지역지원 등에 관한 법률 일부개정법률안,2023-09-05,환경노동위원회
2124245,북한이탈주민의 보호 및 정착지원에 관한 법률 일부개정법률안,2023-09-05,외교통일위원회
2124239,지능형 해상교통정보서비스의 제공 및 이용 활성화에 관한 법률 일부개정법률안,2023-09-05,농림축산식품해양수산위원회
2124237,고등교육법 일부개정법률안,2023-09-05,교육위원회
2124236,고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 일부개정법률안,2023-09-05,환경노동위원회
2124235,동물보호법 일부개정법률안,2023-09-05,농림축산식품해양수산위원회
2124234,어선원 및 어선 재해보상보험법 일부개정법률안,2023-09-05,농림축산식품해양수산위원회
2124232,국민건강보험법 일부개정법률안,2023-09-05,보건복지위원회
2124238,옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 법률 일부개정법률안,2023-09-05,행정안전위원회
2124189,재난 및 안전관리 기본법 일부개정법률안,2023-09-04,행정안전위원회
2124195,6·25전쟁 전후 적 지역에서 활동한 비정규군 공로자 보상에 관한 법률 일부개정법률안,2023-09-04,국방위원회
2124193,재해구호법 일부개정법률안,2023-09-04,행정안전위원회
2124192,산업교육진흥 및 산학연협력촉진에 관한 법률 일부개정법률안,2023-09-04,교육위원회
2124191,고엽제후유의증 등 환자지원 및 단체설립에 관한 법률 일부개정법률안,2023-09-04,정무위원회
2124190,형법 일부개정법률안,2023-09-04,법제사법위원회
2124186,소상공인 보호 및 지원에 관한 법률 일부개정법률안,2023-09-04,산업통상자원중소벤처기업위원회
2124188,군인의 지위 및 복무에 관한 기본법 일부개정법률안,2023-09-04,국방위원회
2124187,민방위기본법 일부개정법률안,2023-09-04,행정안전위원회
2124185,자살예방 및 생명존중문화 조성을 위한 법률 일부개정법률안,2023-09-04,보건복지위원회
2124184,옥외광고물 등의 관리와 옥외광고산업 진흥에 관한 법률 일부개정법률안,2023-09-04,행정안전위원회
2124198,초·중등교육법 일부개정법률안(대안),2023-09-04,교육위원회
2124197,농수산물의 원산지 표시 등에 관한 법률 일부개정법률안,2023-09-04,농림축산식품해양수산위원회
2124194,방위사업법 일부개정법률안,2023-09-04,국방위원회
2124199,모자보건법 일부개정법률안,2023-09-04,보건복지위원회
2124206,대외무역법 일부개정법률안,2023-09-04,산업통상자원중소벤처기업위원회
2124200,도로법 일부개정법률안(대안),2023-09-04,국토교통위원회
2124212,고향사랑 기부금에 관한 법률 일부개정법률안,2023-09-04,행정안전위원회
2124211,산림보호법 일부개정법률안,2023-09-04,농림축산식품해양수산위원회
2124209,건설근로자의 고용개선 등에 관한 법률 일부개정법률안,2023-09-04,환경노동위원회
2124208,구강보건법 일부개정법률안,2023-09-04,보건복지위원회
2124207,자연유산의 보존 및 활용에 관한 법률 일부개정법률안,2023-09-04,문화체육관광위원회
2124210,법관징계법 일부개정법률안,2023-09-04,법제사법위원회
2124205,사법경찰관리의 직무를 수행할 자와 그 직무범위에 관한 법률 일부개정법률안,2023-09-04,법제사법위원회
2124204,각급 법원의 설치와 관할구역에 관한 법률 일부개정법률안,2023-09-04,법제사법위원회
2124203,건설산업기본법 일부개정법률안,2023-09-04,국토교통위원회
2124202,지방교부세법 일부개정법률안,2023-09-04,행정안전위원회
2124201,공공주택 특별법 일부개정법률안(대안),2023-09-04,국토교통위원회
2124147,기업의 지속가능경영을 위한 인권환경보호에 관한 법률안,2023-09-01,기획재정위원회
2124155,주세법 일부개정법률안,2023-09-01,기획재정위원회
2124156,교원의 지위 향상 및 교육활동 보호를 위한 특별법 일부개정법률안,2023-09-01,교육위원회
2124154,농어촌특별세법 일부개정법률안,2023-09-01,기획재정위원회
2124153,법인세법 일부개정법률안,2023-09-01,기획재정위원회
2124152,직능인 경제활동 지원에 관한 법률 일부개정법률안,2023-09-01,행정안전위원회
2124151,소득세법 일부개정법률안,2023-09-01,기획재정위원회
2124150,국세기본법 일부개정법률안,2023-09-01,기획재정위원회
2124149,영주귀국 독립유공자 및 후손지원에 관한 특별법안,2023-09-01,정무위원회
2124148,청소년 보호법 일부개정법률안,2023-09-01,여성가족위원회
2124135,소하천정비법 일부개정법률안,2023-09-01,행정안전위원회
2124146,체외진단의료기기법 일부개정법률안,2023-09-01,보건복지위원회
2124145,고위공직자범죄수사처 설치 및 운영에 관한 법률 일부개정법률안,2023-09-01,법제사법위원회
2124143,개 식용 종식을 위한 특별법안,2023-09-01,농림축산식품해양수산위원회
2124140,약사법 일부개정법률안,2023-09-01,보건복지위원회
2124137,의료법 일부개정법률안,2023-09-01,보건복지위원회
2124136,국민여가활성화기본법 일부개정법률안,2023-09-01,문화체육관광위원회
2124134,재해구호법 일부개정법률안,2023-09-01,행정안전위원회
2124130,학교용지 확보 등에 관한 특례법 일부개정법률안,2023-09-01,교육위원회
2124129,소득세법 일부개정법률안,2023-09-01,기획재정위원회
2124158,교육세법 일부개정법률안,2023-09-01,기획재정위원회
2124157,부가가치세법 일부개정법률안,2023-09-01,기획재정위원회
2124182,형사소송법 일부개정법률안,2023-09-01,법제사법위원회
2124159,주류 면허 등에 관한 법률 일부개정법률안,2023-09-01,기획재정위원회
2124173,재난 및 안전관리 기본법 일부개정법률안,2023-09-01,행정안전위원회
2124183,강북복합균형발전 지원에 관한 특별법안,2023-09-01,국토교통위원회
2124181,농림어업회의소법안,2023-09-01,농림축산식품해양수산위원회
2124180,보건의료기본법 일부개정법률안,2023-09-01,보건복지위원회
2124179,여성폭력방지기본법 일부개정법률안,2023-09-01,여성가족위원회
2124178,신용협동조합법 일부개정법률안,2023-09-01,정무위원회
2124177,국민건강보험법 일부개정법률안,2023-09-01,보건복지위원회
2124176,문화예술진흥법 일부개정법률안,2023-09-01,문화체육관광위원회
2124175,조세특례제한법 일부개정법률안,2023-09-01,기획재정위원회
2124174,교육공무원법 일부개정법률안,2023-09-01,교육위원회
2124172,전기통신사업법 일부개정법률안,2023-09-01,과학기술정보방송통신위원회
2124160,국제조세조정에 관한 법률 일부개정법률안,2023-09-01,기획재정위원회
2124171,관세법 일부개정법률안,2023-09-01,기획재정위원회
2124170,인지세법 일부개정법률안,2023-09-01,기획재정위원회
2124169,도시가스사업법 일부개정법률안,2023-09-01,산업통상자원중소벤처기업위원회
2124168,자유무역협정의 이행을 위한 관세법의 특례에 관한 법률 일부개정법률안,2023-09-01,기획재정위원회
2124167,국세징수법 일부개정법률안,2023-09-01,기획재정위원회
2124166,마약류 관리에 관한 법률 일부개정법률안,2023-09-01,보건복지위원회
2124165,상속세 및 증여세법 일부개정법률안,2023-09-01,기획재정위원회
2124164,환경·사회·지배구조 경영 촉진법안,2023-09-01,기획재정위원회
2124163,조세특례제한법 일부개정법률안,2023-09-01,기획재정위원회
2124128,체육시설의 설치·이용에 관한 법률 일부개정법률안,2023-09-01,문화체육관광위원회
